"municipality","year_first_violence"
5004,1996
13006,1996
20011,1996
20013,1996
5034,1996
5044,1996
5045,1996
47058,1996
5079,1996
20045,1996
66088,1996
20060,1996
54128,1996
5138,1996
5145,1996
5147,1996
5172,1996
5197,1996
70204,1996
5234,1996
44090,1996
27245,1996
13244,1996
5148,1996
50251,1996
20238,1996
13248,1996
20250,1996
68255,1996
5697,1996
5284,1996
47288,1996
47318,1996
5318,1996
85125,1996
5353,1996
5361,1996
20383,1996
20400,1996
5400,1996
70418,1996
5425,1996
70429,1996
66456,1996
70473,1996
5480,1996
54498,1996
5501,1996
70508,1996
20517,1996
20550,1996
47551,1996
73555,1996
85263,1996
5576,1996
5579,1996
73616,1996
27615,1996
68655,1996
54660,1996
73671,1996
17662,1996
20710,1996
23670,1996
20750,1996
13654,1996
5656,1996
70823,1996
13657,1996
70713,1996
5670,1996
5042,1996
5736,1996
5756,1996
47798,1996
23807,1996
85430,1996
52838,1996
5837,1996
27800,1996
5842,1996
5847,1996
5858,1996
5861,1996
25506,1996
5873,1996
54874,1996
5893,1996
5895,1996
54003,1997
50006,1997
85010,1997
5031,1997
5040,1997
47053,1997
81001,1997
81065,1997
73055,1997
5091,1997
5093,1997
27099,1997
23079,1997
5113,1997
5125,1997
13140,1997
5129,1997
5142,1997
20178,1997
47170,1997
13188,1997
23189,1997
5101,1997
5209,1997
13212,1997
20228,1997
76233,1997
5237,1997
47245,1997
50245,1997
18247,1997
44110,1997
13268,1997
47258,1997
19256,1997
5306,1997
5308,1997
50313,1997
5315,1997
70265,1997
20621,1997
73411,1997
5411,1997
13433,1997
8433,1997
50325,1997
13440,1997
13442,1997
5440,1997
25438,1997
95200,1997
19455,1997
13468,1997
13458,1997
5475,1997
85225,1997
5543,1997
23555,1997
66572,1997
68575,1997
23586,1997
13580,1997
5604,1997
13600,1997
17614,1997
23660,1997
5642,1997
70670,1997
5647,1997
70678,1997
50680,1997
18610,1997
95001,1997
70702,1997
25662,1997
44650,1997
15667,1997
50689,1997
5664,1997
23686,1997
47707,1997
5679,1997
5686,1997
5690,1997
13744,1997
47745,1997
25799,1997
13810,1997
25815,1997
5819,1997
44855,1997
5854,1997
86865,1997
5885,1997
5887,1997
5890,1997
13030,1998
13042,1998
20032,1998
73067,1998
44078,1998
13074,1998
5086,1998
5206,1998
99773,1998
5240,1998
50270,1998
47268,1998
52256,1998
44279,1998
81300,1998
5347,1998
73349,1998
27361,1998
76364,1998
5368,1998
5376,1998
68406,1998
50400,1998
27413,1998
5467,1998
23466,1998
13473,1998
18479,1998
5483,1998
5490,1998
25530,1998
47541,1998
13549,1998
8560,1998
47570,1998
86568,1998
50568,1998
23580,1998
50577,1998
5585,1998
47605,1998
5628,1998
47675,1998
5649,1998
5652,1998
5658,1998
5660,1998
13667,1998
86757,1998
13670,1998
5667,1998
68689,1998
19698,1998
68755,1998
18756,1998
81794,1998
52788,1998
19807,1998
5809,1998
18860,1998
44874,1998
13894,1998
68895,1998
5021,1999
76036,1999
5036,1999
76113,1999
50124,1999
13160,1999
47161,1999
27205,1999
50223,1999
18256,1999
54250,1999
54261,1999
73283,1999
73352,1999
41359,1999
27372,1999
17380,1999
68397,1999
54398,1999
99524,1999
19397,1999
86320,1999
76563,1999
20570,1999
50590,1999
19573,1999
5591,1999
66594,1999
5607,1999
20614,1999
5615,1999
68615,1999
50683,1999
52693,1999
76670,1999
18753,1999
5674,1999
47703,1999
13683,1999
54680,1999
5789,1999
54810,1999
23855,1999
85440,1999
5002,2000
5030,2000
76041,2000
13052,2000
27075,2000
19110,2000
76122,2000
19130,2000
19142,2000
5134,2000
5150,2000
73168,2000
20175,2000
54172,2000
5190,2000
54206,2000
76248,2000
52260,2000
17272,2000
76275,2000
50287,2000
5310,2000
5313,2000
76318,2000
5321,2000
76377,2000
19392,2000
76400,2000
68385,2000
73408,2000
52411,2000
17444,2000
17446,2000
15455,2000
68464,2000
85162,2000
19473,2000
17486,2000
27495,2000
15514,2000
5541,2000
47555,2000
15572,2000
50450,2000
50573,2000
8606,2000
76606,2000
76616,2000
85300,2000
41668,2000
54673,2000
13620,2000
73678,2000
73443,2000
13688,2000
54720,2000
76736,2000
19780,2000
17777,2000
68780,2000
20787,2000
5792,2000
76828,2000
13836,2000
76869,2000
13873,2000
25878,2000
85001,2000
17013,2001
18029,2001
17042,2001
17050,2001
54051,2001
52079,2001
18094,2001
5107,2001
54109,2001
19137,2001
76126,2001
68147,2001
68162,2001
17174,2001
19212,2001
50226,2001
73236,2001
5250,2001
54245,2001
73268,2001
73270,2001
5282,2001
25290,2001
54313,2001
68327,2001
73347,2001
52381,2001
18410,2001
5390,2001
54418,2001
68432,2001
17433,2001
17442,2001
73483,2001
85230,2001
17513,2001
54520,2001
17541,2001
19533,2001
19548,2001
41551,2001
73563,2001
68572,2001
86569,2001
8573,2001
54553,2001
54599,2001
52678,2001
68673,2001
68686,2001
66687,2001
5790,2001
41799,2001
13838,2001
73854,2001
68861,2001
86885,2001
50711,2001
25885,2001
27025,2002
66045,2002
5055,2002
19050,2002
68077,2002
73152,2002
70230,2002
68176,2002
68190,2002
15218,2002
73217,2002
81220,2002
52227,2002
18205,2002
76243,2002
52250,2002
19290,2002
20295,2002
76306,2002
41319,2002
52356,2002
5380,2002
19418,2002
54405,2002
8421,2002
19450,2002
5495,2002
25489,2002
17524,2002
54518,2002
19532,2002
8638,2002
17653,2002
23678,2002
5659,2002
68745,2002
70771,2002
54800,2002
41807,2002
19809,2002
73861,2002
41006,2003
25019,2003
41020,2003
66075,2003
41078,2003
19100,2003
73124,2003
23090,2003
8141,2003
18150,2003
23162,2003
23168,2003
23182,2003
13222,2003
41206,2003
25245,2003
95025,2003
25269,2003
41298,2003
41306,2003
73319,2003
50350,2003
52399,2003
23419,2003
73449,2003
50330,2003
41518,2003
73520,2003
68547,2003
85279,2003
25612,2003
73624,2003
5631,2003
23672,2003
81736,2003
25743,2003
25745,2003
15762,2003
68770,2003
41770,2003
52786,2003
25805,2003
25839,2003
73870,2003
17873,2003
27073,2004
8078,2004
95015,2004
76130,2004
73226,2004
70235,2004
68324,2004
54344,2004
66400,2004
19517,2004
23574,2004
50606,2004
41615,2004
54670,2004
15681,2004
66682,2004
85410,2004
44847,2004
76892,2004
73030,2005
41132,2005
68235,2005
25286,2005
25307,2005
19318,2005
8372,2005
52418,2005
25430,2005
85139,2005
25473,2005
81591,2005
17616,2005
13673,2005
99624,2005
8685,2005
17867,2005
23068,2006
27077,2006
25214,2006
41396,2006
52427,2006
15491,2006
52490,2006
52540,2006
68573,2006
52612,2006
73770,2006
5038,2007
68101,2007
76250,2007
44378,2007
52405,2007
23570,2007
20770,2007
19821,2007
76895,2007
5120,2008
63130,2008
19364,2008
23350,2008
23500,2008
15550,2008
73585,2008
63594,2008
73622,2008
27745,2008
17877,2008
76100,2009
5154,2009
63190,2009
52683,2009
54820,2009
27006,2010
52233,2010
27250,2010
52621,2010
52696,2010
5051,2011
52203,2011
52520,2011
73675,2011
23675,2011
27787,2011
8296,2012
63470,2012
15533,2012
41013,NA
25001,NA
68013,NA
41016,NA
52019,NA
44035,NA
68020,NA
76020,NA
52022,NA
47030,NA
19022,NA
15022,NA
73024,NA
41026,NA
73026,NA
25035,NA
52036,NA
25040,NA
73043,NA
25599,NA
15047,NA
68051,NA
25053,NA
52051,NA
15051,NA
76054,NA
5059,NA
63001,NA
13062,NA
27050,NA
19075,NA
68079,NA
50110,NA
68081,NA
94343,NA
8001,NA
17088,NA
15087,NA
52083,NA
5088,NA
25086,NA
15090,NA
15092,NA
68092,NA
25095,NA
15097,NA
54099,NA
11001,NA
25099,NA
15104,NA
15106,NA
68001,NA
76109,NA
15109,NA
63111,NA
70110,NA
52110,NA
15114,NA
25120,NA
68121,NA
94886,NA
25123,NA
54125,NA
70124,NA
25126,NA
15131,NA
76001,NA
68132,NA
8137,NA
15135,NA
25148,NA
25151,NA
68152,NA
73148,NA
25154,NA
27150,NA
13001,NA
76147,NA
97161,NA
50150,NA
68160,NA
15162,NA
27160,NA
52240,NA
25168,NA
85015,NA
68167,NA
68169,NA
25175,NA
15172,NA
25178,NA
68179,NA
15176,NA
15232,NA
15180,NA
15183,NA
54174,NA
15185,NA
15187,NA
15236,NA
25181,NA
25183,NA
47189,NA
15189,NA
73200,NA
25200,NA
86219,NA
15204,NA
68207,NA
47205,NA
68209,NA
52207,NA
52210,NA
68211,NA
5212,NA
15212,NA
52215,NA
63212,NA
68217,NA
70215,NA
15215,NA
23300,NA
70221,NA
52224,NA
15223,NA
15224,NA
25224,NA
54223,NA
15226,NA
68229,NA
44098,NA
66170,NA
15238,NA
54239,NA
76246,NA
27135,NA
15244,NA
91263,NA
15248,NA
68245,NA
52254,NA
25258,NA
68250,NA
70233,NA
25260,NA
52258,NA
41244,NA
68264,NA
68266,NA
5264,NA
5266,NA
63272,NA
15272,NA
73275,NA
18001,NA
15276,NA
68271,NA
68276,NA
25279,NA
25281,NA
52287,NA
25288,NA
25293,NA
25295,NA
15293,NA
25297,NA
68296,NA
25299,NA
68298,NA
15296,NA
15299,NA
63302,NA
68307,NA
20310,NA
25312,NA
68318,NA
15317,NA
19300,NA
25317,NA
52317,NA
76111,NA
68320,NA
25320,NA
52320,NA
52323,NA
50318,NA
68322,NA
25322,NA
25324,NA
25326,NA
15322,NA
66318,NA
25328,NA
25335,NA
15325,NA
15332,NA
25339,NA
13300,NA
68344,NA
54347,NA
41349,NA
73001,NA
52352,NA
52354,NA
94001,NA
19355,NA
41357,NA
5360,NA
15362,NA
5364,NA
15367,NA
15368,NA
25368,NA
68368,NA
68370,NA
25372,NA
41378,NA
68377,NA
25377,NA
15380,NA
66383,NA
91405,NA
52378,NA
54385,NA
94885,NA
44420,NA
52385,NA
17388,NA
25386,NA
25394,NA
91407,NA
25398,NA
85136,NA
63401,NA
52390,NA
70400,NA
15403,NA
25402,NA
15401,NA
76403,NA
91430,NA
54377,NA
15377,NA
25407,NA
91001,NA
23417,NA
68418,NA
15425,NA
68425,NA
25426,NA
13430,NA
44430,NA
52435,NA
8436,NA
44560,NA
20443,NA
17001,NA
25436,NA
94663,NA
15442,NA
66440,NA
68444,NA
5001,NA
27425,NA
27430,NA
27450,NA
18460,NA
91460,NA
97001,NA
86001,NA
68468,NA
23464,NA
15464,NA
15466,NA
15469,NA
23001,NA
94888,NA
52473,NA
15476,NA
73461,NA
54480,NA
15480,NA
25483,NA
52480,NA
41483,NA
41001,NA
25486,NA
25488,NA
25491,NA
17495,NA
13490,NA
27491,NA
47460,NA
15494,NA
76497,NA
68498,NA
68500,NA
15500,NA
68502,NA
41503,NA
73504,NA
52506,NA
15507,NA
15511,NA
25513,NA
97511,NA
19513,NA
25518,NA
15516,NA
15518,NA
41524,NA
41530,NA
68522,NA
8520,NA
68524,NA
76520,NA
70523,NA
94887,NA
25524,NA
15522,NA
97777,NA
68533,NA
25535,NA
52001,NA
15531,NA
85250,NA
15537,NA
66001,NA
15542,NA
73547,NA
63548,NA
47545,NA
68549,NA
8549,NA
41548,NA
8558,NA
19001,NA
52560,NA
52565,NA
88564,NA
52573,NA
91530,NA
91536,NA
99001,NA
94884,NA
86571,NA
86573,NA
91540,NA
18592,NA
25572,NA
91669,NA
25580,NA
52585,NA
19585,NA
25592,NA
25594,NA
27001,NA
15580,NA
25596,NA
15599,NA
15600,NA
27580,NA
27600,NA
44001,NA
76622,NA
15621,NA
19622,NA
8634,NA
47660,NA
15632,NA
85315,NA
15638,NA
41660,NA
63690,NA
15646,NA
68669,NA
88001,NA
52835,NA
25645,NA
25649,NA
52685,NA
25653,NA
15660,NA
13647,NA
94883,NA
13650,NA
25658,NA
86755,NA
68679,NA
13655,NA
68682,NA
17665,NA
54001,NA
68684,NA
15664,NA
23682,NA
27660,NA
50686,NA
52687,NA
85325,NA
70742,NA
70708,NA
15673,NA
15676,NA
70717,NA
52694,NA
5665,NA
19693,NA
47692,NA
68705,NA
47720,NA
68720,NA
73686,NA
8675,NA
15690,NA
41676,NA
47001,NA
19701,NA
15693,NA
15696,NA
52699,NA
15686,NA
86760,NA
70820,NA
52720,NA
25718,NA
15720,NA
15723,NA
25736,NA
15740,NA
25740,NA
86749,NA
54743,NA
19743,NA
70001,NA
25754,NA
15753,NA
15757,NA
15755,NA
15759,NA
8758,NA
18785,NA
15761,NA
5761,NA
13760,NA
25758,NA
15764,NA
15763,NA
19760,NA
8770,NA
25769,NA
19785,NA
68773,NA
25772,NA
25777,NA
25779,NA
15774,NA
15776,NA
25781,NA
15778,NA
25785,NA
13780,NA
85400,NA
97666,NA
91798,NA
41791,NA
15790,NA
25793,NA
25797,NA
15798,NA
41801,NA
41797,NA
15804,NA
15806,NA
25807,NA
15808,NA
15810,NA
15814,NA
25817,NA
15816,NA
68820,NA
15820,NA
25823,NA
76823,NA
15822,NA
19824,NA
8832,NA
23815,NA
76834,NA
15001,NA
15832,NA
15835,NA
15837,NA
15839,NA
25841,NA
76845,NA
15842,NA
25845,NA
27810,NA
50370,NA
8849,NA
25851,NA
68855,NA
20001,NA
5856,NA
15861,NA
25862,NA
76863,NA
68867,NA
25867,NA
54871,NA
15407,NA
25843,NA
19845,NA
25871,NA
68872,NA
25873,NA
73873,NA
50001,NA
41872,NA
25875,NA
15879,NA
52885,NA
41885,NA
97889,NA
76890,NA
47960,NA
15897,NA
25898,NA
25899,NA
47980,NA
